state,zip5,lat_lon,population,adi_median
CA,92371,"(34.4383377, -117.5425936)",16763,44.0
NY,14223,"(42.9734591, -78.8461064)",22665,59.0
CA,94087,"(37.3516149, -122.0366796)",54293,1.0
MN,55305,"(44.9563464, -93.4280924)",19368,23.0
NV,89108,"(36.2050885, -115.223683)",70123,59.0
CA,94518,"(37.9505211, -122.0220781)",26778,10.0
MA,02021,"(42.1757371, -71.1253849)",21561,13.0
CT,06854,"(41.0908961, -73.4287882)",29100,24.0
CA,94903,"(38.0221295, -122.55881)",29040,5.0
MA,02148,"(42.4293799, -71.0587065)",59503,23.0
OR,97213,"(45.5381938, -122.6000136)",29219,17.0
OR,97801,"(45.6708274, -118.823832)",21521,54.0
MN,55110,"(45.0899368, -93.0040457)",37759,32.0
NJ,07502,"(40.9196591, -74.195028)",15406,45.0
CA,90057,"(34.0617348, -118.2767572)",44998,14.0
CA,92311,"(34.965648, -117.0015086)",31894,77.0
CA,94544,"(37.6335073, -122.0567723)",73026,12.0
OR,97862,"(45.9220632, -118.3160627)",11666,59.0
CA,92841,"(33.7868326, -117.9820406)",32845,13.0
CT,06484,"(41.3045774, -73.1392153)",39559,29.0
NJ,07107,"(40.7629182, -74.1865594)",37650,45.0
IL,60532,"(41.7894426, -88.0839844)",27066,40.0
CA,94014,"(37.6906862, -122.4477376)",47014,6.0
CT,06262,"(42.0193109, -71.9483838)",586,45.0
NJ,07843,"(40.9392271, -74.6595062)",12241,33.0
CA,90638,"(33.9020453, -118.0089608)",49012,10.0
MD,20816,"(38.9569499, -77.1200056)",16208,2.0
MD,20850,"(39.0892114, -77.1805013)",46340,10.0
MA,02066,"(42.2022731, -70.7581843)",17656,11.0
NY,11104,"(40.7448453, -73.9204681)",27232,16.0
MN,55902,"(43.9713006, -92.5078707)",21968,30.0
CA,94539,"(37.5162924, -121.9118907)",50031,2.0
CA,94044,"(37.6065981, -122.4772305)",37296,4.0
OR,97202,"(45.4820123, -122.644451)",38762,14.0
NY,13502,"(43.1412641, -75.1547072)",33257,84.0
CA,91706,"(34.0974098, -117.9682691)",76571,23.0
MD,20781,"(38.9528596, -76.9462896)",11440,23.0
